episode: 0/1000, score: 27, e: 1.0
episode: 1/1000, score: 18, e: 1.0
episode: 2/1000, score: 46, e: 1.0
episode: 3/1000, score: 25, e: 1.0
episode: 4/1000, score: 21, e: 1.0
episode: 5/1000, score: 11, e: 1.0
episode: 6/1000, score: 14, e: 1.0
episode: 7/1000, score: 29, e: 1.0
episode: 8/1000, score: 44, e: 1.0
episode: 9/1000, score: 38, e: 1.0
episode: 10/1000, score: 15, e: 1.0
episode: 11/1000, score: 11, e: 1.0
episode: 12/1000, score: 17, e: 1.0
episode: 13/1000, score: 22, e: 1.0
episode: 14/1000, score: 25, e: 1.0
episode: 15/1000, score: 22, e: 1.0
episode: 16/1000, score: 8, e: 1.0
episode: 17/1000, score: 29, e: 1.0
episode: 18/1000, score: 19, e: 1.0
episode: 19/1000, score: 11, e: 1.0
episode: 20/1000, score: 40, e: 1.0
episode: 21/1000, score: 45, e: 1.0
episode: 22/1000, score: 22, e: 1.0
episode: 23/1000, score: 22, e: 1.0
episode: 24/1000, score: 39, e: 1.0
episode: 25/1000, score: 16, e: 1.0
episode: 26/1000, score: 30, e: 1.0
episode: 27/1000, score: 18, e: 1.0
episode: 28/1000, score: 17, e: 1.0
episode: 29/1000, score: 30, e: 1.0
episode: 30/1000, score: 41, e: 1.0
episode: 31/1000, score: 36, e: 1.0
episode: 32/1000, score: 26, e: 1.0
episode: 33/1000, score: 17, e: 1.0
episode: 34/1000, score: 13, e: 1.0
episode: 35/1000, score: 13, e: 1.0
episode: 36/1000, score: 25, e: 1.0
episode: 37/1000, score: 53, e: 1.0
episode: 38/1000, score: 24, e: 1.0
episode: 39/1000, score: 12, e: 1.0
episode: 40/1000, score: 11, e: 1.0
episode: 41/1000, score: 27, e: 0.97
episode: 42/1000, score: 14, e: 0.96
episode: 43/1000, score: 32, e: 0.93
episode: 44/1000, score: 53, e: 0.88
episode: 45/1000, score: 13, e: 0.87
episode: 46/1000, score: 80, e: 0.8
episode: 47/1000, score: 36, e: 0.77
episode: 48/1000, score: 24, e: 0.75
episode: 49/1000, score: 18, e: 0.74
episode: 50/1000, score: 63, e: 0.7
episode: 51/1000, score: 36, e: 0.67
episode: 52/1000, score: 15, e: 0.66
episode: 53/1000, score: 74, e: 0.61
episode: 54/1000, score: 77, e: 0.57
episode: 55/1000, score: 48, e: 0.54
episode: 56/1000, score: 183, e: 0.45
episode: 57/1000, score: 125, e: 0.4
episode: 58/1000, score: 109, e: 0.36
episode: 59/1000, score: 133, e: 0.31
episode: 60/1000, score: 294, e: 0.23
episode: 61/1000, score: 93, e: 0.21
episode: 62/1000, score: 111, e: 0.19
episode: 63/1000, score: 112, e: 0.17
episode: 64/1000, score: 72, e: 0.16
episode: 65/1000, score: 96, e: 0.14
episode: 66/1000, score: 74, e: 0.13
episode: 67/1000, score: 140, e: 0.12
episode: 68/1000, score: 108, e: 0.1
episode: 69/1000, score: 91, e: 0.095
episode: 70/1000, score: 45, e: 0.091
episode: 71/1000, score: 124, e: 0.08
episode: 72/1000, score: 174, e: 0.067
episode: 73/1000, score: 11, e: 0.067
episode: 74/1000, score: 10, e: 0.066
episode: 75/1000, score: 9, e: 0.065
episode: 76/1000, score: 10, e: 0.065
episode: 77/1000, score: 11, e: 0.064
episode: 78/1000, score: 8, e: 0.064
episode: 79/1000, score: 10, e: 0.063
episode: 80/1000, score: 10, e: 0.062
episode: 81/1000, score: 10, e: 0.062
episode: 82/1000, score: 10, e: 0.061
episode: 83/1000, score: 9, e: 0.06
episode: 84/1000, score: 10, e: 0.06
episode: 85/1000, score: 11, e: 0.059
episode: 86/1000, score: 10, e: 0.059
episode: 87/1000, score: 10, e: 0.058
episode: 88/1000, score: 13, e: 0.057
episode: 89/1000, score: 28, e: 0.056
episode: 90/1000, score: 24, e: 0.054
episode: 91/1000, score: 10, e: 0.054
episode: 92/1000, score: 10, e: 0.053
episode: 93/1000, score: 10, e: 0.053
episode: 94/1000, score: 11, e: 0.052
episode: 95/1000, score: 9, e: 0.052
episode: 96/1000, score: 9, e: 0.051
episode: 97/1000, score: 10, e: 0.051
episode: 98/1000, score: 10, e: 0.05
episode: 99/1000, score: 10, e: 0.05
episode: 100/1000, score: 10, e: 0.049
episode: 101/1000, score: 255, e: 0.038
episode: 102/1000, score: 299, e: 0.028
episode: 103/1000, score: 338, e: 0.02
episode: 104/1000, score: 397, e: 0.014
episode: 105/1000, score: 176, e: 0.011
episode: 106/1000, score: 272, e: 0.0087
episode: 107/1000, score: 65, e: 0.0081
episode: 108/1000, score: 8, e: 0.0081
episode: 109/1000, score: 10, e: 0.008
episode: 110/1000, score: 9, e: 0.0079
episode: 111/1000, score: 10, e: 0.0078
episode: 112/1000, score: 9, e: 0.0078
episode: 113/1000, score: 10, e: 0.0077
episode: 114/1000, score: 9, e: 0.0076
episode: 115/1000, score: 9, e: 0.0075
episode: 116/1000, score: 10, e: 0.0075
episode: 117/1000, score: 10, e: 0.0074
episode: 118/1000, score: 10, e: 0.0073
episode: 119/1000, score: 9, e: 0.0073
episode: 120/1000, score: 11, e: 0.0072
episode: 121/1000, score: 10, e: 0.0071
episode: 122/1000, score: 10, e: 0.007
episode: 123/1000, score: 15, e: 0.0069
episode: 124/1000, score: 105, e: 0.0062
episode: 125/1000, score: 491, e: 0.0038
episode: 126/1000, score: 10, e: 0.0038
episode: 127/1000, score: 246, e: 0.003
episode: 128/1000, score: 378, e: 0.002
episode: 129/1000, score: 163, e: 0.0017
episode: 130/1000, score: 272, e: 0.0013
episode: 131/1000, score: 214, e: 0.0011
episode: 132/1000, score: 190, e: 0.001
episode: 133/1000, score: 221, e: 0.001
episode: 134/1000, score: 15, e: 0.001
episode: 135/1000, score: 9, e: 0.001
episode: 136/1000, score: 11, e: 0.001
episode: 137/1000, score: 153, e: 0.001
episode: 138/1000, score: 269, e: 0.001
episode: 139/1000, score: 274, e: 0.001
episode: 140/1000, score: 310, e: 0.001
episode: 141/1000, score: 251, e: 0.001
episode: 142/1000, score: 341, e: 0.001
episode: 143/1000, score: 350, e: 0.001
episode: 144/1000, score: 152, e: 0.001
episode: 145/1000, score: 314, e: 0.001
episode: 146/1000, score: 17, e: 0.001
episode: 147/1000, score: 205, e: 0.001
episode: 148/1000, score: 219, e: 0.001
episode: 149/1000, score: 282, e: 0.001
episode: 150/1000, score: 200, e: 0.001
episode: 151/1000, score: 197, e: 0.001
episode: 152/1000, score: 361, e: 0.001
episode: 153/1000, score: 341, e: 0.001
episode: 154/1000, score: 312, e: 0.001
episode: 155/1000, score: 208, e: 0.001
episode: 156/1000, score: 229, e: 0.001
episode: 157/1000, score: 237, e: 0.001
episode: 158/1000, score: 212, e: 0.001
episode: 159/1000, score: 219, e: 0.001
episode: 160/1000, score: 186, e: 0.001
episode: 161/1000, score: 198, e: 0.001
episode: 162/1000, score: 236, e: 0.001
episode: 163/1000, score: 185, e: 0.001
episode: 164/1000, score: 185, e: 0.001
episode: 165/1000, score: 179, e: 0.001
episode: 166/1000, score: 198, e: 0.001
episode: 167/1000, score: 216, e: 0.001
episode: 168/1000, score: 206, e: 0.001
episode: 169/1000, score: 199, e: 0.001
episode: 170/1000, score: 195, e: 0.001
episode: 171/1000, score: 214, e: 0.001
episode: 172/1000, score: 254, e: 0.001
episode: 173/1000, score: 683, e: 0.001
