episode: 0/1000, score: 15, e: 1.0
episode: 1/1000, score: 16, e: 1.0
episode: 2/1000, score: 16, e: 1.0
episode: 3/1000, score: 28, e: 1.0
episode: 4/1000, score: 24, e: 1.0
episode: 5/1000, score: 33, e: 1.0
episode: 6/1000, score: 31, e: 1.0
episode: 7/1000, score: 26, e: 1.0
episode: 8/1000, score: 39, e: 1.0
episode: 9/1000, score: 29, e: 1.0
episode: 10/1000, score: 10, e: 1.0
episode: 11/1000, score: 37, e: 1.0
episode: 12/1000, score: 15, e: 1.0
episode: 13/1000, score: 25, e: 1.0
episode: 14/1000, score: 10, e: 1.0
episode: 15/1000, score: 11, e: 1.0
episode: 16/1000, score: 9, e: 1.0
episode: 17/1000, score: 38, e: 1.0
episode: 18/1000, score: 14, e: 1.0
episode: 19/1000, score: 14, e: 1.0
episode: 20/1000, score: 23, e: 1.0
episode: 21/1000, score: 9, e: 1.0
episode: 22/1000, score: 21, e: 1.0
episode: 23/1000, score: 27, e: 1.0
episode: 24/1000, score: 14, e: 1.0
episode: 25/1000, score: 17, e: 1.0
episode: 26/1000, score: 54, e: 1.0
episode: 27/1000, score: 19, e: 1.0
episode: 28/1000, score: 60, e: 1.0
episode: 29/1000, score: 11, e: 1.0
episode: 30/1000, score: 18, e: 1.0
episode: 31/1000, score: 33, e: 1.0
episode: 32/1000, score: 27, e: 1.0
episode: 33/1000, score: 25, e: 1.0
episode: 34/1000, score: 28, e: 1.0
episode: 35/1000, score: 19, e: 1.0
episode: 36/1000, score: 14, e: 1.0
episode: 37/1000, score: 25, e: 1.0
episode: 38/1000, score: 19, e: 1.0
episode: 39/1000, score: 19, e: 1.0
episode: 40/1000, score: 16, e: 1.0
episode: 41/1000, score: 14, e: 1.0
episode: 42/1000, score: 14, e: 1.0
episode: 43/1000, score: 11, e: 1.0
episode: 44/1000, score: 18, e: 1.0
episode: 45/1000, score: 13, e: 0.99
episode: 46/1000, score: 29, e: 0.96
episode: 47/1000, score: 20, e: 0.94
episode: 48/1000, score: 32, e: 0.91
episode: 49/1000, score: 46, e: 0.87
episode: 50/1000, score: 49, e: 0.83
episode: 51/1000, score: 13, e: 0.82
episode: 52/1000, score: 20, e: 0.8
episode: 53/1000, score: 18, e: 0.79
